time_s,source,accepted,diversity_score,objective,pool_best_obj
19.6549,worker_0,0,0.0649351,26397.8,26011.1
19.6628,worker_0,1,0.135065,26328.8,26011.1
19.6636,hgs_child,1,0.6,34558.1,26011.1
19.6934,worker_0,1,0.111688,26326.1,26011.1
19.7008,worker_0,0,0.0285714,26311.6,26011.1
19.7078,worker_0,0,0.0493506,26299.7,26011.1
19.7365,worker_0,0,0.0675325,26295.7,26011.1
19.7559,worker_2,1,0.683117,35213.6,26011.1
19.7646,hgs_child,1,0.527273,42802.9,26011.1
19.7659,worker_0,1,0.109091,26289.2,26011.1
19.7867,worker_0,0,0.0207792,26281.1,26011.1
19.8158,worker_0,0,0.0571429,26274.1,26011.1
19.9659,hgs_child,1,0.784416,33998.6,26011.1
19.9669,worker_2,1,0.683117,35213.4,26011.1
20.0646,hgs_child,1,0.171429,27263.1,26011.1
